,track_played_at,track_id,track_name,track_duration_min,track_popularity,primary_artist,primary_artist_id,album_id,album_name,album_release_year,primary_genre,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers
29,2021-09-06 02:45:37.088,6CrMz8djvwqwp2aje0FguL,RURALITY-OUTRO,4.58,23,Sam Gellaitry,07UJz804RJxqNvxFXC3h9H,7GoQwmBYFCOPSdOOp8OUds,Escapism,2015-11-30,electronic trap,0.43,0.646,9,-6.166,0,0.0373,0.623,0.0771,0.145,0.164,157.589,49,80959
30,2021-09-06 02:41:01.686,3CPVEod8rIrAxE9EfqDS5P,"Midsummer Madness (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08) - KRANE Remix",3.98,35,88rising,1AhjOkOLkbHUfcHDSErXQs,6dczZnIxHL0AEvVkZ4FkWY,"Midsummer Madness (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08) [KRANE Remix]",2018-09-25,asian american hip hop,0.637,0.644,6,-6.543,0,0.0407,0.499,0.0,0.0772,0.207,107.865,71,705413
31,2021-09-06 02:37:02.321,1yBrYFPBLQLIPyJ9CeIWai,Be,1.36,10,Bowtye,0wms98WJkHZ4bT7Cmo7FVe,15DzB3KZMXfo7cpoWXxjJh,Clearly Confused,2021-07-30,,0.21,0.112,1,-18.727,1,0.0389,0.936,0.249,0.104,0.109,135.974,34,787
32,2021-09-06 02:35:40.128,4Hi0PflDB9TnPAZWLGtgHe,Our Own Roof,5.3,38,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,5Bd46K8hcylV7O7xz2YqEX,Music for the Motion Picture Victoria,2015-06-15,compositional ambient,0.23,0.114,10,-24.738,0,0.0392,0.0887,0.845,0.316,0.037,52.595,63,503006
33,2021-09-06 02:30:21.491,2NfjNJKcjKb1jEeEcafzak,Exile,2.75,39,Juelz,04p1jV00pBnrmh2rKl0jnT,45IlRslbY2q1bvRMHSVDD9,Paradise Lost,2021-08-13,bass trap,0.542,0.693,7,-4.338,0,0.0424,0.0053,0.336,0.345,0.065,92.153,53,14811
34,2021-09-06 02:27:35.836,1hWuwrJrdDNszlnQ4hBp4h,Kahala,3.71,9,Mr. Carmack,4OHaWpWPKDcZgOOUn9elFn,0HNThswcLXcghjI5krCyfL,Reality,2014-04-15,electronic trap,0.384,0.737,8,-7.112,0,0.0855,7.44e-05,0.873,0.221,0.16,139.719,46,79276
35,2021-09-05 21:16:44.421,1hWuwrJrdDNszlnQ4hBp4h,Kahala,3.71,9,Mr. Carmack,4OHaWpWPKDcZgOOUn9elFn,0HNThswcLXcghjI5krCyfL,Reality,2014-04-15,electronic trap,0.384,0.737,8,-7.112,0,0.0855,7.44e-05,0.873,0.221,0.16,139.719,46,79276
36,2021-09-05 21:14:48.795,5A3DaiKcnV56eAA91CrkF8,PRIVACY (REMIX) [feat. J Robb & lvusm],3.14,38,tyler coolidge,5uy8iXudbbcY6Nlhb1G0TA,0GnjtU8bt61Hr33rtvtVaG,PRIVACY (REMIX) [feat. J Robb & lvusm],2021-08-17,,0.327,0.697,6,-7.707,0,0.243,0.00605,0.0,0.126,0.498,66.287,33,2852
37,2021-09-05 21:11:39.875,3rXTrixXoC01U57rCjDezU,Pray For Me,2.38,29,Dpat,5tCcGNhAW0do4RlIz9WilZ,0llJF2nV1c4dqYV7P8sUZo,Pray For Me,2021-09-03,,0.786,0.272,9,-12.109,0,0.07,0.465,0.168,0.115,0.112,138.085,30,19303
38,2021-09-05 17:46:20.104,1OYqXynR2VTgI7EoLCuPGQ,Don't Mind Me,3.38,25,Nosaj Thing,0IVapwlnM3dEOiMsHXsghT,0cfN1nOUOIRiGiPhiLWzmN,Fated,2015-05-05,bass music,0.681,0.398,6,-9.623,1,0.0619,0.669,0.629,0.0998,0.191,80.006,51,184633
39,2021-09-05 17:46:08.103,1mES3gdUrtY0pedLEQvzUH,Hipster Girl,3.33,1,Fortune,0k8Uo16gfrTi96p6JEDOxV,1EgEzMenW9imGQMHkQvxDA,Venha Comigo,2015-03-30,,0.65,0.478,11,-12.965,0,0.0374,0.177,0.448,0.0875,0.229,120.01,2,23
40,2021-09-05 17:24:01.945,2NfjNJKcjKb1jEeEcafzak,Exile,2.75,39,Juelz,04p1jV00pBnrmh2rKl0jnT,45IlRslbY2q1bvRMHSVDD9,Paradise Lost,2021-08-13,bass trap,0.542,0.693,7,-4.338,0,0.0424,0.0053,0.336,0.345,0.065,92.153,53,14811
41,2021-09-05 17:19:50.630,5A3DaiKcnV56eAA91CrkF8,PRIVACY (REMIX) [feat. J Robb & lvusm],3.14,38,tyler coolidge,5uy8iXudbbcY6Nlhb1G0TA,0GnjtU8bt61Hr33rtvtVaG,PRIVACY (REMIX) [feat. J Robb & lvusm],2021-08-17,,0.327,0.697,6,-7.707,0,0.243,0.00605,0.0,0.126,0.498,66.287,33,2852
42,2021-09-05 17:16:42.825,3rXTrixXoC01U57rCjDezU,Pray For Me,2.38,29,Dpat,5tCcGNhAW0do4RlIz9WilZ,0llJF2nV1c4dqYV7P8sUZo,Pray For Me,2021-09-03,,0.786,0.272,9,-12.109,0,0.07,0.465,0.168,0.115,0.112,138.085,30,19303
43,2021-09-05 16:25:09.120,4Hi0PflDB9TnPAZWLGtgHe,Our Own Roof,5.3,38,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,5Bd46K8hcylV7O7xz2YqEX,Music for the Motion Picture Victoria,2015-06-15,compositional ambient,0.23,0.114,10,-24.738,0,0.0392,0.0887,0.845,0.316,0.037,52.595,63,503006
44,2021-09-05 16:21:22.685,2NfjNJKcjKb1jEeEcafzak,Exile,2.75,39,Juelz,04p1jV00pBnrmh2rKl0jnT,45IlRslbY2q1bvRMHSVDD9,Paradise Lost,2021-08-13,bass trap,0.542,0.693,7,-4.338,0,0.0424,0.0053,0.336,0.345,0.065,92.153,53,14811
45,2021-09-05 16:16:12.824,5A3DaiKcnV56eAA91CrkF8,PRIVACY (REMIX) [feat. J Robb & lvusm],3.14,38,tyler coolidge,5uy8iXudbbcY6Nlhb1G0TA,0GnjtU8bt61Hr33rtvtVaG,PRIVACY (REMIX) [feat. J Robb & lvusm],2021-08-17,,0.327,0.697,6,-7.707,0,0.243,0.00605,0.0,0.126,0.498,66.287,33,2852
46,2021-09-05 16:13:03.914,3rXTrixXoC01U57rCjDezU,Pray For Me,2.38,29,Dpat,5tCcGNhAW0do4RlIz9WilZ,0llJF2nV1c4dqYV7P8sUZo,Pray For Me,2021-09-03,,0.786,0.272,9,-12.109,0,0.07,0.465,0.168,0.115,0.112,138.085,30,19303
47,2021-09-05 16:03:17.269,3rXTrixXoC01U57rCjDezU,Pray For Me,2.38,29,Dpat,5tCcGNhAW0do4RlIz9WilZ,0llJF2nV1c4dqYV7P8sUZo,Pray For Me,2021-09-03,,0.786,0.272,9,-12.109,0,0.07,0.465,0.168,0.115,0.112,138.085,30,19303
48,2021-09-05 03:41:44.897,3RkNXZvOSMMElmmXztDc94,Fucking Fans,4.09,77,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.783,0.416,4,-9.84,0,0.135,0.213,0.0,0.103,0.165,87.073,100,56893422
49,2021-09-05 03:40:38.253,7F9cT6hIRhnFCYP6GKS0tf,IMY2 (with Kid Cudi),4.21,79,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.601,0.506,7,-8.637,0,0.0383,0.369,0.00405,0.119,0.0496,149.981,100,56893422
