track_played_at,track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_1,secondary_artists_2,secondary_artists_id_0,secondary_artists_id_1,secondary_artists_id_2,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5
2021-09-01 01:51:50.381,25RRZzrfLi2fbP0oYxmH3X,Floor 21,3.01,40,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.477,0.565,7,-6.182,0,0.0464,0.0224,4.32e-06,0.196,0.465,84.991,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-09-01 01:48:49.183,4b15WZPLEBsoAupocXzbZE,Faithful,2.9,38,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.655,0.622,8,-8.077,0,0.0863,0.107,1.47e-06,0.111,0.113,150.028,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-09-01 01:34:45.394,01NKQM0t8lyzOo4YZOZLYw,Ayonha,3.69,48,2ndCkboIEM4g6Z2n2IjLd1,Tape 19.11 / Ayonha,2017-10-25,Hamid Al Shaeri,,7u1V0Ucu5ggW1VaXwh8KeT,,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,44,26925,arab groove,"arab pop, belly dance, libyan pop",,,,,,,arab pop, belly dance, libyan pop,,,
2021-09-01 01:31:03.401,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,38,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-09-01 01:28:28.576,25RRZzrfLi2fbP0oYxmH3X,Floor 21,3.01,40,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.477,0.565,7,-6.182,0,0.0464,0.0224,4.32e-06,0.196,0.465,84.991,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-09-01 01:25:27.382,4b15WZPLEBsoAupocXzbZE,Faithful,2.9,38,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.655,0.622,8,-8.077,0,0.0863,0.107,1.47e-06,0.111,0.113,150.028,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-09-01 01:22:33.124,70iXIh1Awkb6KCJzrIoB7V,Honest,2.87,37,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.542,0.413,7,-9.776,0,0.0554,0.0394,0.0,0.0939,0.344,170.052,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-09-01 01:19:40.245,4UatltqbOPocIJ28J1CKW5,Save Your Emotions,2.84,35,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.762,0.343,6,-9.179,0,0.0342,0.51,1.02e-05,0.12,0.719,111.64,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
2021-08-31 21:08:41.869,24772GCQb6h2RX99gZsiRf,We Sat in the Car,4.51,24,0no9vd20lVRbHZooRhqUHb,The End,2019-03-22,Shlohmo,,6y80I9YZi4DOpbaSUlL725,,0.669,0.684,2,-8.196,0,0.0398,0.289,0.784,0.119,0.0506,91.953,54,227440,chillwave,"downtempo, electronica, glitch, vapor twitch, wonky",,,,,,,downtempo, electronica, glitch, vapor twitch, wonky,
2021-08-31 21:03:31.150,1nLA6cwrhdvX368fUjgPcZ,How I Feel,3.16,23,578IDaArIjl31LaVFT3VpM,The Other Day,2014-11-17,Pomo,,6YtlR8MLfO6azxwOKAvEi3,,0.911,0.616,9,-7.617,0,0.263,0.0427,0.00248,0.106,0.885,113.054,48,36514,canadian electronic,new french touch,,,,,,,new french touch,,,,,
2021-08-31 21:00:20.897,0x9IksEijXlfucXxGcT6xa,Eternal,3.43,14,62y3qp76nE3mF6WLsoRXkB,"Dyzphoria, Vol. 1",2018-03-16,Dyzphoria,,6SehYBqIfg08SBrc7Ydreg,,0.691,0.723,9,-9.123,0,0.0407,0.454,0.933,0.195,0.128,119.998,36,6463,night drive phonk,wave,,,,,,,wave,,,,,
2021-08-31 20:56:54.404,1RM2IpNsetISJr8sySdfQf,i feel like i'm dying.,2.7,1,77K8Z7moljsHdBHxUDX2eK,i feel like i'm dying.,2017-10-30,KMB,,0ihliQqviJjnWKiG0XSRqN,,0.768,0.473,1,-8.123,0,0.394,0.05,0.895,0.0766,0.052,83.076,35,1936,,,,,,,,,,,,,,
2021-08-31 20:54:11.762,2azNLtWWrrSfQP9SlBc0LX,Remember Me,3.2,15,5tzOYteQ8qToVCjqReJMNz,Footprints,2020-07-10,IAMNOBODI,,2DLlb2Se6eF0mMTYffyAcn,,0.435,0.413,11,-9.985,0,0.0549,0.0476,0.00854,0.287,0.641,109.411,45,38534,alternative r&b,"indie r&b, vapor twitch",,,,,,,indie r&b, vapor twitch,,,,
2021-08-31 20:50:59.278,6Knx4Tp8hE7IlYtde2dCYI,Core,3.95,49,5UWAfUBImV6jcswkXkXZOs,VOID,2014-11-17,RL Grime,,5eIbEEQnDM8yuDVB0bimSP,,0.532,0.949,0,-3.903,1,0.0544,0.00172,0.928,0.308,0.604,149.996,68,372856,bass trap,"edm, electro house, electronic trap, electropop, pop dance",,,,,,,edm, electro house, electronic trap, electropop, pop dance,
2021-08-31 20:47:02.006,5cAX8OQXcB5dzhCqLU5spW,Of The Stars,1.09,14,7EX4al2RpkXaHOPB8xMF91,ALLOW IT!,2018-01-26,TEK.LUN,,3CE8Ux0j4kdaWpqCssKnVA,,0.477,0.726,5,-12.211,0,0.502,0.0177,0.262,0.319,0.466,67.071,34,18276,future bass,vapor twitch,,,,,,,vapor twitch,,,,,
2021-08-31 20:45:56.131,2lUaN37HISlJDT4kg738JL,All Alone,7.25,1,1EgEzMenW9imGQMHkQvxDA,Venha Comigo,2015-03-30,Fortune,Alexander Lewis,0k8Uo16gfrTi96p6JEDOxV,7befIRlRojNsVhhSnl12sJ,0.533,0.533,8,-8.306,0,0.0753,0.651,0.00198,0.109,0.217,111.904,2,22,,,Alexander Lewis,,,7befIRlRojNsVhhSnl12sJ,,,,,,,,
2021-08-31 20:38:40.900,1AQtWYUKvPw5wYThfi5Uyo,Baby,3.11,37,6bzDf8hYZbCuwjLoEPRvtE,Soulection White Label - Monte Booker,2016-06-29,Monte Booker,Raven Lenae,4p75GTNEXwsAAkpweMVtKo,6zDiVztiq8iuSRlyL8NNqR,0.883,0.385,8,-13.965,0,0.252,0.0371,0.000223,0.284,0.605,120.94,57,98453,underground hip hop,viral rap,Raven Lenae,,,6zDiVztiq8iuSRlyL8NNqR,,,viral rap,,,,,
2021-08-31 20:35:33.754,2aLbH2X7d1vSiqPPcBcq4H,LAKE COUNTY INTERLUDE,1.63,2,0v9aXaEUGwRMTAcomsyBAM,AZURE,2021-02-19,Savon,,1Z4kMiUwBM1dkoO6TyXXhn,,0.299,0.0349,5,-28.02,1,0.0427,0.96,0.804,0.27,0.223,67.685,30,4443,lo-fi house,,,,,,,,,,,,,
2021-08-31 20:33:25.102,60NM1wFD69UIkTE2BwV4eG,Hyperrealllll,2.21,15,0YUmazidBacqOJTdUD7QnZ,Sd-1,2021-05-12,Louke Man,,10JL2s5aUztzFyURrFrxtL,,0.489,0.349,4,-17.382,1,0.0422,0.914,0.418,0.17,0.412,123.12,24,799,,,,,,,,,,,,,,
2021-08-31 20:31:11.934,2HPVWFtoe4dBNlGiejWURa,Sinner,3.5,35,074qTKii6dd1nSbcKDwm46,Renaissance Boy,2020-08-28,Galimatias,,0tOrKkXIn3VYyVHFEPG6Xd,,0.615,0.476,0,-9.876,0,0.0409,0.39,0.0202,0.111,0.133,104.005,63,121960,alternative r&b,"chillstep, future bass, indie soul, vapor twitch",,,,,,,chillstep, future bass, indie soul, vapor twitch,,
2021-08-31 20:27:41.447,7gE0eioyQ53s1M7x2NQ1y9,Flirtin,3.76,3,4Hal9KSKzPCzANzDdniylP,The Vault,2018-01-01,DrewsThatDude,,36UnfzYd835ufc9ajoT9Kk,,0.543,0.77,6,-5.155,0,0.0778,0.402,0.0144,0.408,0.623,88.039,28,6806,future bass,vapor twitch,,,,,,,vapor twitch,,,,,
2021-08-31 20:23:55.604,71guYyOyu9Ev6ikljXZNVy,No Roof,2.6,4,6TgYtl25kYk7L2FR34TQPH,Untitled,2016-03-24,MadBliss,,0COmjEzD3EK62KJ7XYjhQW,,0.666,0.888,10,-5.122,1,0.122,0.126,0.283,0.214,0.139,75.517,36,2856,,,,,,,,,,,,,,
2021-08-31 20:21:19.298,15BvtKq6MTCWjdEiZlQjGu,Cherish.,3.89,24,4sPhywueDZqCVbyAuEFOoD,Sad Boy.,2018-03-18,xander.,,6ysKfYgiKUTMCuq2fSTLK3,,0.618,0.437,10,-11.536,0,0.293,0.406,0.124,0.0816,0.418,75.22,58,8673,,,,,,,,,,,,,,
2021-08-31 20:17:25.625,33pkZ5JnVbzUGRdqWmpRef,Go Crazy,2.68,37,3L7pWKpDt0YFxACcY0CbLR,RIPPLS,2020-03-06,Medasin,Duckwrth,62vbsDRAq0qHdezaCOzB0T,6I3MElirhT5t6Kf7p0hGk9,0.837,0.628,10,-9.971,0,0.271,0.208,9.45e-06,0.122,0.492,127.014,62,99168,edm,"future bass, indie soul, vapor soul, vapor twitch",Duckwrth,,,6I3MElirhT5t6Kf7p0hGk9,,,future bass, indie soul, vapor soul, vapor twitch,,
2021-08-31 20:14:44.056,6gAD7s0taW3KtuE6ZExrYZ,elegance,2.34,1,1viBftEGngF4P7sxbuu2F9,elegance,2017-07-17,KMB,,0ihliQqviJjnWKiG0XSRqN,,0.839,0.703,7,-10.752,0,0.221,0.109,0.181,0.369,0.78,130.024,35,1936,,,,,,,,,,,,,,
2021-08-31 20:12:23.208,0kMYcFBDgOVZm1zqkP112w,Frosted,3.22,1,4KkzbsQF2i3Gva8uN83ZIW,Vault III,2020-12-04,DrewsThatDude,,36UnfzYd835ufc9ajoT9Kk,,0.784,0.439,11,-9.113,0,0.0454,0.00949,0.785,0.24,0.449,133.999,28,6806,future bass,vapor twitch,,,,,,,vapor twitch,,,,,
2021-08-31 20:09:09.291,21umQ0ZJ5Zea4jUE5EYd8R,Level Up,3.53,4,4Hal9KSKzPCzANzDdniylP,The Vault,2018-01-01,DrewsThatDude,,36UnfzYd835ufc9ajoT9Kk,,0.785,0.976,10,-5.94,0,0.101,0.0109,0.119,0.109,0.634,128.047,28,6806,future bass,vapor twitch,,,,,,,vapor twitch,,,,,
2021-08-31 20:04:26.829,5UVq2s9GyNF0EQyFfItDoW,BckThen.,1.52,1,3LHAeLr17OsFC3D02Zau34,NowOrNvr.,2017-10-17,Foisey,,5r8QIG7EYHw09UZJm7rsZB,,0.628,0.297,2,-10.209,1,0.224,0.372,0.703,0.142,0.291,84.227,14,503,,,,,,,,,,,,,,
2021-08-31 20:02:54.883,6RbOjHV2azIPBHlsnt2wfj,Cure,3.86,13,2pX1lKbzV7vNzYSykBMXdw,Cure,2017-01-27,On Planets,,5uz8HDS6eOsefdqSyMlTzi,,0.527,0.51,9,-6.637,1,0.0738,0.226,0.0198,0.0816,0.266,171.856,43,6773,future bass,"indie electropop, vapor soul, vapor twitch",,,,,,,indie electropop, vapor soul, vapor twitch,,,
2021-08-31 19:57:32.969,6qx0azHJNQqFrdyQstCmX7,Fall,3.2,17,4lSBf9apQWwk7G4SfMB6nL,The Fall,2014-11-24,Fwdslxsh,,6msDgKr1aMqAxxvC6uEWFv,,0.458,0.425,1,-10.453,0,0.033,0.684,0.519,0.0844,0.0565,136.029,22,6928,,,,,,,,,,,,,,
2021-08-31 19:54:20.612,05UpUTOoVV6PVjfIhjretZ,Conte a Todos,3.2,38,5Olya3n1lRhRU7NxNihquQ,"De Mim, Pra Você",2017-03-15,Sango,,7e3FtKBIPLrIVm8g1FJMVg,,0.869,0.843,3,-5.412,0,0.302,0.144,0.19,0.338,0.634,130.067,56,166349,abstract beats,"alternative r&b, escape room, indie r&b, indie soul, vapor twitch",,,,,,,alternative r&b, escape room, indie r&b, indie soul, vapor twitch,
2021-08-31 19:51:08.120,2uYvD3d08f8KtAsIJSrNsR,YOU'RE THE ONE,3.8,45,6ICXg5mVxz9S7B8Y9rrHG9,99.9%,2016-05-06,KAYTRANADA,Syd,6qgnBH6iDM91ipVXv28OMu,3jk39CGeaaSO3FPKNx1RUx,0.823,0.385,2,-9.714,1,0.34,0.0299,0.00247,0.107,0.241,118.053,72,877350,escape room,"indie soul, lgbtq+ hip hop",Syd,,,3jk39CGeaaSO3FPKNx1RUx,,,indie soul, lgbtq+ hip hop,,,,
2021-08-31 19:47:19.888,4CANqU20rw8PXzYvocPzp7,Wild Thoughts - Medasin Dance Remix,4.58,47,4guOdLBYRWg6av5iYzJdfm,Wild Thoughts (Medasin Dance Remix),2017-07-21,DJ Khaled,"Medasin, Rihanna, Bryson Tiller",0QHgL1lAIqAw0HtD7YldmP,"62vbsDRAq0qHdezaCOzB0T, 5pKCCKE2ajJHZ9KAiaK11H, 2EMAnMvWE2eb56ToJVfCWs",0.502,0.699,8,-5.516,1,0.167,0.161,0.0,0.0647,0.419,179.871,83,6319348,hip hop,"miami hip hop, pop rap, rap, southern hip hop, trap",Medasin, Rihanna, Bryson Tiller,62vbsDRAq0qHdezaCOzB0T, 5pKCCKE2ajJHZ9KAiaK11H, 2EMAnMvWE2eb56ToJVfCWs,miami hip hop, pop rap, rap, southern hip hop, trap,
2021-08-31 19:42:44.749,2xC3yhArWutS4D9sDM177h,Flamito,2.32,19,4tBfdEYYHlWWKmteCfLIGl,Purple Evenings,2017-06-22,Heavy Mellow,Jerry Folk,59WT73GxJi40AmPXYvJEYx,356FCJoyYWyzONni54Dgrv,0.655,0.202,0,-12.464,1,0.0437,0.734,0.906,0.107,0.0905,100.14,35,8887,,,Jerry Folk,,,356FCJoyYWyzONni54Dgrv,,,,,,,,
2021-08-31 19:35:45.525,4lcOrQzNxhV3f5ybPIgPcY,Amaze,3.69,6,4axYLnh6TFo2EuEbAkNII1,Complacency,2020-12-15,Cozy Kev,capshun,7e0CLdbVq8tdRGfh8Tf6JB,1iHaJ84BqipzAefeXNAsdL,0.554,0.408,11,-12.981,0,0.0397,0.0343,0.741,0.201,0.211,140.009,15,269,,,capshun,,,1iHaJ84BqipzAefeXNAsdL,,,,,,,,
2021-08-31 19:31:57.964,2sgidgea11lkqe45PymnMq,WESSIDE,4.1,6,2U1lHk00wuxtwHI4Wt0kxw,Know Pressure,2020-07-24,TEK.LUN,,3CE8Ux0j4kdaWpqCssKnVA,,0.799,0.497,10,-10.574,1,0.125,0.195,0.838,0.258,0.397,117.033,34,18276,future bass,vapor twitch,,,,,,,vapor twitch,,,,,
2021-08-31 19:28:04.373,2CJOCW4VWc0u6gKTvRkdXA,...Girl,2.84,37,5FbhsjMFQXjb1BqbVtTrHc,Soundtrack To A Death,2014-11-17,Mura Masa,,5Q81rlcTFh3k6DQJXPdsot,,0.779,0.74,7,-9.084,1,0.424,0.182,0.806,0.0877,0.458,176.061,68,581505,channel islands indie,vapor soul,,,,,,,vapor soul,,,,,
2021-08-31 19:20:54.710,13bMHvX7YGBDnmCxan2cZM,Tell Her,3.31,0,1EgEzMenW9imGQMHkQvxDA,Venha Comigo,2015-03-30,Fortune,,0k8Uo16gfrTi96p6JEDOxV,,0.653,0.579,5,-9.953,0,0.0398,0.224,0.884,0.0983,0.335,140.011,2,22,,,,,,,,,,,,,,
2021-08-31 19:17:34.352,4qw6SB0i1Ecl8JFYWS4N4K,Roseblood,2.38,2,5bXGuEKhay7RjzsCdBl9Ry,Love Is A Garden,2021-02-14,Nono,,1B097EmkgJlLqjZl4q8ssM,,0.288,0.123,1,-18.837,0,0.04,0.947,0.906,0.12,0.318,64.38,10,475,,,,,,,,,,,,,,
2021-08-31 19:15:11.362,036pEUQuez1PVid4m04YKK,Mizzy,1.86,2,7mPd2qAMZPbTqMSZv0MUPu,Vibeout Club,2016-03-29,Mo Vibez,,538JTayWqrPT5QYY0zoA5E,,0.608,0.439,7,-9.378,0,0.0685,0.0468,0.858,0.104,0.184,151.146,21,8118,future bass,vapor twitch,,,,,,,vapor twitch,,,,,
